"","Country","Pop..Density..per.sq..mi..","Literacy....","GNI","death_percent"
"134","Pakistan",206.2,45.7,1270,0.000176896081121539
"135","Palau",44.9,92,14390,0
"136","Panama",40.8,92.6,12420,0.00242908966480631
"137","Papua New Guinea",12.3,64.6,2720,0.000105280904265975
"138","Paraguay",16,94,5180,0.00267211191824008
"139","Peru",22,90.9,6030,0.00727795249080093
"140","Philippines",298.2,92.6,3430,0.000604647367256811
"141","Poland",123.3,99.8,15240,0.00275216961710096
"142","Portugal",114.8,93.3,21790,0.00188801107311329
"143","Puerto Rico",284.8,94.1,21740,0.000989766723670983
"144","Qatar",77.4,82.5,55990,0.000733035977496134
"145","Romania",93.9,98.4,12580,0.00270100475475835
"146","Rwanda",328.4,70.4,780,0.000166970234896132
"147","Samoa",60.1,99.7,4050,0
"149","Saudi Arabia",13.8,78.8,21930,0.000330980349138191
"150","Senegal",61.1,40.2,1430,0.000162591167637333
"151","Serbia",106.3,93,7420,0.00146311182003427
"152","Seychelles",179.2,58,12200,0.0017905102954342
"153","Sierra Leone",83.7,31.4,510,2.0815120103243e-05
"154","Singapore",6482.2,92.5,54920,0.000191222465857106
"155","Slovenia",99.2,99.7,25360,0.00323128295761876
"157","Somalia",13.9,37.8,420,0.000150620454731615
"158","South Africa",36.2,86.4,6010,0.00216040065686246
"159","Spain",80,97.9,27360,0.00238943456435123
"160","Sri Lanka",308.2,92.3,3720,0.00076722460024211
"161","Sudan",16.5,61.1,530,8.70105517026738e-05
"162","Suriname",2.7,93,4620,0.00288533579888731
"163","Sweden",20,99,54050,0.00181243564644573
"164","Switzerland",182.2,99,82620,0.00164966890990803
"165","Tajikistan",51.2,99.4,1060,1.70746016666177e-05
"166","Thailand",125.7,92.6,7040,0.000343918481355752
"167","Togo",97.7,60.9,920,4.82995842991748e-05
"168","Tonga",153.3,98.5,5190,0
"169","Tunisia",62.2,74.2,3300,0.00259744114356993
"170","Turkey",90.2,86.5,9050,0.00124735212299811
"173","Uganda",119.5,69.9,800,0.000125728150415839
"174","Ukraine",77.4,99.7,3570,0.00215815112285771
"175","United Arab Emirates",31.4,77.9,39410,0.000864866775553048
"176","United States",31,97,64530,0.00297969253650971
"177","Uruguay",19.5,98,15790,0.00189776487412921
"178","Uzbekistan",61,99.3,1740,5.76772355531708e-05
"179","Vanuatu",17.1,53,3190,0
"180","Zambia",15.3,80.6,1160,0.000340809997556949
"181","Zimbabwe",31.3,90.7,1140,0.000437369068151368
